INFO:Logger:Environment: CartPole-v1
INFO:Logger:Agent: DQN Agent with Prioritized Replay Memory
INFO:Logger:Learning rate: 0.0025
INFO:Logger:Gamma: 0.9
INFO:Logger:Epsilon: 1.0
INFO:Logger:Epsilon decay: 0.001
INFO:Logger:Minimum epsilon: 0.01
INFO:Logger:Device used: cuda
INFO:Logger:[TRAIN][ep 99/1000][TIMESTEP 179]: 179.0
INFO:Logger:[TRAIN][ep 100/1000][TIMESTEP 229]: 229.0
INFO:Logger:[TRAIN][ep 101/1000][TIMESTEP 241]: 241.0
INFO:Logger:[TRAIN][ep 102/1000][TIMESTEP 254]: 254.0
INFO:Logger:[TRAIN][ep 103/1000][TIMESTEP 222]: 222.0
INFO:Logger:[TRAIN][ep 104/1000][TIMESTEP 202]: 202.0
INFO:Logger:[TRAIN][ep 105/1000][TIMESTEP 255]: 255.0
INFO:Logger:[TRAIN][ep 106/1000][TIMESTEP 340]: 340.0
INFO:Logger:[TRAIN][ep 107/1000][TIMESTEP 203]: 203.0
INFO:Logger:[TRAIN][ep 108/1000][TIMESTEP 213]: 213.0
INFO:Logger:[TRAIN][ep 109/1000][TIMESTEP 281]: 281.0
INFO:Logger:[TRAIN][ep 110/1000][TIMESTEP 229]: 229.0
INFO:Logger:[TRAIN][ep 111/1000][TIMESTEP 265]: 265.0
INFO:Logger:[TRAIN][ep 112/1000][TIMESTEP 246]: 246.0
INFO:Logger:[TRAIN][ep 113/1000][TIMESTEP 229]: 229.0
INFO:Logger:[TRAIN][ep 114/1000][TIMESTEP 234]: 234.0
INFO:Logger:[TRAIN][ep 115/1000][TIMESTEP 278]: 278.0
INFO:Logger:[TRAIN][ep 116/1000][TIMESTEP 246]: 246.0
INFO:Logger:[TRAIN][ep 117/1000][TIMESTEP 256]: 256.0
INFO:Logger:[TRAIN][ep 118/1000][TIMESTEP 248]: 248.0
INFO:Logger:[TRAIN][ep 119/1000][TIMESTEP 249]: 249.0
INFO:Logger:[TRAIN][ep 120/1000][TIMESTEP 244]: 244.0
INFO:Logger:[TRAIN][ep 121/1000][TIMESTEP 238]: 238.0
INFO:Logger:[TRAIN][ep 122/1000][TIMESTEP 264]: 264.0
INFO:Logger:[TRAIN][ep 123/1000][TIMESTEP 191]: 191.0
INFO:Logger:[TRAIN][ep 124/1000][TIMESTEP 252]: 252.0
INFO:Logger:[TRAIN][ep 125/1000][TIMESTEP 213]: 213.0
INFO:Logger:[TRAIN][ep 126/1000][TIMESTEP 234]: 234.0
INFO:Logger:[TRAIN][ep 127/1000][TIMESTEP 219]: 219.0
INFO:Logger:[TRAIN][ep 128/1000][TIMESTEP 219]: 219.0
INFO:Logger:[TRAIN][ep 129/1000][TIMESTEP 240]: 240.0
INFO:Logger:[TRAIN][ep 130/1000][TIMESTEP 221]: 221.0
INFO:Logger:[TRAIN][ep 131/1000][TIMESTEP 221]: 221.0
INFO:Logger:[TRAIN][ep 132/1000][TIMESTEP 239]: 239.0
INFO:Logger:[TRAIN][ep 133/1000][TIMESTEP 17]: 17.0
INFO:Logger:[TRAIN][ep 134/1000][TIMESTEP 180]: 180.0
INFO:Logger:[TRAIN][ep 135/1000][TIMESTEP 144]: 144.0
INFO:Logger:[TRAIN][ep 136/1000][TIMESTEP 15]: 15.0
INFO:Logger:[TRAIN][ep 137/1000][TIMESTEP 19]: 19.0
INFO:Logger:[TRAIN][ep 138/1000][TIMESTEP 218]: 218.0
INFO:Logger:[TRAIN][ep 139/1000][TIMESTEP 223]: 223.0
INFO:Logger:[TRAIN][ep 140/1000][TIMESTEP 226]: 226.0
INFO:Logger:[TRAIN][ep 141/1000][TIMESTEP 186]: 186.0
INFO:Logger:[TRAIN][ep 142/1000][TIMESTEP 215]: 215.0
INFO:Logger:[TRAIN][ep 143/1000][TIMESTEP 257]: 257.0
INFO:Logger:[TRAIN][ep 144/1000][TIMESTEP 218]: 218.0
INFO:Logger:[TRAIN][ep 145/1000][TIMESTEP 216]: 216.0
INFO:Logger:[TRAIN][ep 146/1000][TIMESTEP 214]: 214.0
INFO:Logger:[TRAIN][ep 147/1000][TIMESTEP 20]: 20.0
INFO:Logger:[TRAIN][ep 148/1000][TIMESTEP 203]: 203.0
INFO:Logger:[TRAIN][ep 149/1000][TIMESTEP 224]: 224.0
INFO:Logger:[TRAIN][ep 150/1000][TIMESTEP 191]: 191.0
INFO:Logger:[TRAIN][ep 151/1000][TIMESTEP 220]: 220.0
INFO:Logger:[TRAIN][ep 152/1000][TIMESTEP 205]: 205.0
INFO:Logger:[TRAIN][ep 153/1000][TIMESTEP 194]: 194.0
INFO:Logger:[TRAIN][ep 154/1000][TIMESTEP 214]: 214.0
INFO:Logger:[TRAIN][ep 155/1000][TIMESTEP 222]: 222.0
INFO:Logger:[TRAIN][ep 156/1000][TIMESTEP 208]: 208.0
INFO:Logger:[TRAIN][ep 157/1000][TIMESTEP 24]: 24.0
INFO:Logger:[TRAIN][ep 158/1000][TIMESTEP 28]: 28.0
INFO:Logger:[TRAIN][ep 159/1000][TIMESTEP 23]: 23.0
INFO:Logger:[TRAIN][ep 160/1000][TIMESTEP 14]: 14.0
INFO:Logger:[TRAIN][ep 161/1000][TIMESTEP 14]: 14.0
INFO:Logger:[TRAIN][ep 162/1000][TIMESTEP 9]: 9.0
INFO:Logger:[TRAIN][ep 163/1000][TIMESTEP 17]: 17.0
INFO:Logger:[TRAIN][ep 164/1000][TIMESTEP 18]: 18.0
INFO:Logger:[TRAIN][ep 165/1000][TIMESTEP 13]: 13.0
INFO:Logger:[TRAIN][ep 166/1000][TIMESTEP 189]: 189.0
INFO:Logger:[TRAIN][ep 167/1000][TIMESTEP 225]: 225.0
INFO:Logger:[TRAIN][ep 168/1000][TIMESTEP 215]: 215.0
INFO:Logger:[TRAIN][ep 169/1000][TIMESTEP 227]: 227.0
